"Time","Mur_Temp_sud_1.mean","Mur_Temp_sud_2.mean","Mur_Temp_sud_3.mean"
"2023-07-14-15",NA,NA,NA
"2023-07-14-16",NA,NA,NA
"2023-07-14-17",NA,NA,NA
"2023-07-14-18",NA,NA,NA
"2023-07-14-19",NA,NA,NA
"2023-07-14-20",NA,NA,NA
"2023-07-14-21",NA,NA,NA
"2023-07-14-22",NA,NA,NA
"2023-07-14-23",NA,NA,NA
"2023-07-15-00",NA,NA,NA
"2023-07-15-01",NA,NA,NA
"2023-07-15-02",NA,NA,NA
"2023-07-15-03",NA,NA,NA
"2023-07-15-04",NA,NA,NA
"2023-07-15-05",NA,NA,NA
"2023-07-15-06",NA,NA,NA
"2023-07-15-07",NA,NA,NA
"2023-07-15-08",NA,NA,NA
"2023-07-15-09",NA,NA,NA
"2023-07-15-10",NA,NA,NA
"2023-07-15-11",NA,NA,NA
"2023-07-15-12",NA,NA,NA
"2023-07-15-13",NA,NA,NA
"2023-07-15-14",NA,NA,NA
"2023-07-15-15",NA,NA,NA
"2023-07-15-16",NA,NA,NA
"2023-07-15-17",NA,NA,NA
"2023-07-15-18",NA,NA,NA
"2023-07-15-19",NA,NA,NA
"2023-07-15-20",NA,NA,NA
"2023-07-15-21",NA,NA,NA
"2023-07-15-22",NA,NA,NA
"2023-07-15-23",NA,NA,NA
"2023-07-16-00",NA,NA,NA
"2023-07-16-01",NA,NA,NA
"2023-07-16-02",NA,NA,NA
"2023-07-16-03",NA,NA,NA
"2023-07-16-04",NA,NA,NA
"2023-07-16-05",NA,NA,NA
"2023-07-16-06",NA,NA,NA
"2023-07-16-07",NA,NA,NA
"2023-07-16-08",NA,NA,NA
"2023-07-16-09",NA,NA,NA
"2023-07-16-10",NA,NA,NA
"2023-07-16-11",NA,NA,NA
"2023-07-16-12",NA,NA,NA
"2023-07-16-13",NA,NA,NA
"2023-07-16-14",NA,NA,NA
"2023-07-16-15",NA,NA,NA
"2023-07-16-16",NA,NA,NA
"2023-07-16-17",NA,NA,NA
"2023-07-16-18",NA,NA,NA
"2023-07-16-19",NA,NA,NA
"2023-07-16-20",NA,NA,NA
"2023-07-16-21",NA,NA,NA
"2023-07-16-22",NA,NA,NA
"2023-07-16-23",NA,NA,NA
"2023-07-17-00",NA,NA,NA
"2023-07-17-01",NA,NA,NA
"2023-07-17-02",NA,NA,NA
"2023-07-17-03",NA,NA,NA
"2023-07-17-04",NA,NA,NA
"2023-07-17-05",NA,NA,NA
"2023-07-17-06",NA,NA,NA
"2023-07-17-07",NA,NA,NA
"2023-07-17-08",NA,NA,NA
"2023-07-17-09",NA,NA,NA
"2023-07-17-10",NA,NA,NA
"2023-07-17-11",NA,NA,NA
"2023-07-17-12",NA,NA,NA
"2023-07-17-13",NA,NA,NA
"2023-07-17-14",NA,NA,NA
"2023-07-17-15",NA,NA,NA
"2023-07-17-16",NA,NA,NA
"2023-07-17-17",NA,NA,NA
"2023-07-17-18",NA,NA,NA
"2023-07-17-19",NA,NA,NA
"2023-07-17-20",NA,NA,NA
"2023-07-17-21",NA,NA,NA
"2023-07-17-22",NA,NA,NA
"2023-07-17-23",NA,NA,NA
"2023-07-18-00",NA,NA,NA
"2023-07-18-01",NA,NA,NA
"2023-07-18-02",NA,NA,NA
"2023-07-18-03",NA,NA,NA
"2023-07-18-04",NA,NA,NA
"2023-07-18-05",NA,NA,NA
"2023-07-18-06",NA,NA,NA
"2023-07-18-07",NA,NA,NA
"2023-07-18-08",NA,NA,NA
"2023-07-18-09",NA,NA,NA
"2023-07-18-10",NA,NA,NA
"2023-07-18-11",NA,NA,NA
"2023-07-18-12",NA,NA,NA
"2023-07-18-13",NA,NA,NA
"2023-07-18-14",NA,NA,NA
"2023-07-18-15",NA,NA,NA
"2023-07-18-16",NA,NA,NA
"2023-07-18-17",NA,NA,NA
"2023-07-18-18",NA,NA,NA
"2023-07-18-19",NA,NA,NA
"2023-07-18-20",NA,NA,NA
"2023-07-18-21",NA,NA,NA
"2023-07-18-22",NA,NA,NA
"2023-07-18-23",NA,NA,NA
"2023-07-19-00",NA,NA,NA
"2023-07-19-01",NA,NA,NA
"2023-07-19-02",NA,NA,NA
"2023-07-19-03",NA,NA,NA
"2023-07-19-04",NA,NA,NA
"2023-07-19-05",NA,NA,NA
"2023-07-19-06",NA,NA,NA
"2023-07-19-07",NA,NA,NA
"2023-07-19-08",NA,NA,NA
"2023-07-19-09",NA,NA,NA
"2023-07-19-10",NA,NA,NA
"2023-07-19-11",NA,NA,NA
"2023-07-19-12",NA,NA,NA
"2023-07-19-13",NA,NA,NA
"2023-07-19-14",NA,NA,NA
"2023-07-19-15",NA,NA,NA
"2023-07-19-16",NA,NA,NA
"2023-07-19-17",NA,NA,NA
"2023-07-19-18",NA,NA,NA
"2023-07-19-19",NA,NA,NA
"2023-07-19-20",NA,NA,NA
"2023-07-19-21",NA,NA,NA
"2023-07-19-22",NA,NA,NA
"2023-07-19-23",NA,NA,NA
"2023-07-20-00",NA,NA,NA
"2023-07-20-01",NA,NA,NA
"2023-07-20-02",NA,NA,NA
"2023-07-20-03",NA,NA,NA
"2023-07-20-04",NA,NA,NA
"2023-07-20-05",NA,NA,NA
"2023-07-20-06",NA,NA,NA
"2023-07-20-07",NA,NA,NA
"2023-07-20-08",NA,NA,NA
"2023-07-20-09",NA,NA,NA
"2023-07-20-10",NA,NA,NA
"2023-07-20-11",NA,NA,NA
"2023-07-20-12",NA,NA,NA
"2023-07-20-13",NA,NA,NA
"2023-07-20-14",NA,NA,NA
"2023-07-20-15",NA,NA,NA
"2023-07-20-16",NA,NA,NA
"2023-07-20-17",NA,NA,NA
"2023-07-20-18",NA,NA,NA
"2023-07-20-19",NA,NA,NA
"2023-07-20-20",NA,NA,NA
"2023-07-20-21",NA,NA,NA
"2023-07-20-22",NA,NA,NA
"2023-07-20-23",NA,NA,NA
"2023-07-21-00",NA,NA,NA
"2023-07-21-01",NA,NA,NA
"2023-07-21-02",NA,NA,NA
"2023-07-21-03",NA,NA,NA
"2023-07-21-04",NA,NA,NA
"2023-07-21-05",NA,NA,NA
"2023-07-21-06",NA,NA,NA
"2023-07-21-07",NA,NA,NA
"2023-07-21-08",NA,NA,NA
"2023-07-21-09",NA,NA,NA
"2023-07-21-10",NA,NA,NA
"2023-07-21-11",NA,NA,NA
"2023-07-21-12",NA,NA,NA
"2023-07-21-13",NA,NA,NA
"2023-07-21-14",NA,NA,NA
"2023-07-21-15",NA,NA,NA
"2023-07-21-16",NA,NA,NA
"2023-07-21-17",NA,NA,NA
"2023-07-21-18",NA,NA,NA
"2023-07-21-19",NA,NA,NA
"2023-07-21-20",NA,NA,NA
"2023-07-21-21",NA,NA,NA
"2023-07-21-22",NA,NA,NA
"2023-07-21-23",NA,NA,NA
"2023-07-22-00",NA,NA,NA
"2023-07-22-01",NA,NA,NA
"2023-07-22-02",NA,NA,NA
"2023-07-22-03",NA,NA,NA
"2023-07-22-04",NA,NA,NA
"2023-07-22-05",NA,NA,NA
"2023-07-22-06",NA,NA,NA
"2023-07-22-07",NA,NA,NA
"2023-07-22-08",NA,NA,NA
"2023-07-22-09",NA,NA,NA
"2023-07-22-10",NA,NA,NA
"2023-07-22-11",NA,NA,NA
"2023-07-22-12",NA,NA,NA
"2023-07-22-13",NA,NA,NA
"2023-07-22-14",NA,NA,NA
"2023-07-22-15",NA,NA,NA
"2023-07-22-16",NA,NA,NA
"2023-07-22-17",NA,NA,NA
"2023-07-22-18",NA,NA,NA
"2023-07-22-19",NA,NA,NA
"2023-07-22-20",NA,NA,NA
"2023-07-22-21",NA,NA,NA
"2023-07-22-22",NA,NA,NA
"2023-07-22-23",NA,NA,NA
"2023-07-23-00",NA,NA,NA
"2023-07-23-01",NA,NA,NA
"2023-07-23-02",NA,NA,NA
"2023-07-23-03",NA,NA,NA
"2023-07-23-04",NA,NA,NA
"2023-07-23-05",NA,NA,NA
"2023-07-23-06",NA,NA,NA
"2023-07-23-07",NA,NA,NA
"2023-07-23-08",NA,NA,NA
"2023-07-23-09",NA,NA,NA
"2023-07-23-10",NA,NA,NA
"2023-07-23-11",NA,NA,NA
"2023-07-23-12",NA,NA,NA
"2023-07-23-13",NA,NA,NA
"2023-07-23-14",NA,NA,NA
"2023-07-23-15",NA,NA,NA
"2023-07-23-16",NA,NA,NA
"2023-07-23-17",NA,NA,NA
"2023-07-23-18",NA,NA,NA
"2023-07-23-19",NA,NA,NA
"2023-07-23-20",NA,NA,NA
"2023-07-23-21",NA,NA,NA
"2023-07-23-22",NA,NA,NA
"2023-07-23-23",NA,NA,NA
"2023-07-24-00",NA,NA,NA
"2023-07-24-01",NA,NA,NA
"2023-07-24-02",NA,NA,NA
"2023-07-24-03",NA,NA,NA
"2023-07-24-04",NA,NA,NA
"2023-07-24-05",NA,NA,NA
"2023-07-24-06",NA,NA,NA
"2023-07-24-07",NA,NA,NA
"2023-07-24-08",NA,NA,NA
"2023-07-24-09",NA,NA,NA
"2023-07-24-10",NA,NA,NA
"2023-07-24-11",NA,NA,NA
"2023-07-24-12",NA,NA,NA
"2023-07-24-13",NA,NA,NA
"2023-07-24-14",NA,NA,NA
"2023-07-24-15",NA,NA,NA
"2023-07-24-16",NA,NA,NA
"2023-07-24-17",NA,NA,NA
"2023-07-24-18",NA,NA,NA
"2023-07-24-19",NA,NA,NA
"2023-07-24-20",NA,NA,NA
"2023-07-24-21",NA,NA,NA
"2023-07-24-22",NA,NA,NA
"2023-07-24-23",NA,NA,NA
"2023-07-25-00",NA,NA,NA
"2023-07-25-01",NA,NA,NA
"2023-07-25-02",NA,NA,NA
"2023-07-25-03",NA,NA,NA
"2023-07-25-04",NA,NA,NA
"2023-07-25-05",NA,NA,NA
"2023-07-25-06",NA,NA,NA
"2023-07-25-07",NA,NA,NA
"2023-07-25-08",NA,NA,NA
"2023-07-25-09",NA,NA,NA
"2023-07-25-10",NA,NA,NA
"2023-07-25-11",NA,NA,NA
"2023-07-25-12",NA,NA,NA
"2023-07-25-13",NA,NA,NA
"2023-07-25-14",NA,NA,NA
"2023-07-25-15",NA,NA,NA
"2023-07-25-16",NA,NA,NA
"2023-07-25-17",NA,NA,NA
"2023-07-25-18",NA,NA,NA
"2023-07-25-19",NA,NA,NA
"2023-07-25-20",NA,NA,NA
"2023-07-25-21",NA,NA,NA
"2023-07-25-22",NA,NA,NA
"2023-07-25-23",NA,NA,NA
"2023-07-26-00",NA,NA,NA
"2023-07-26-01",NA,NA,NA
"2023-07-26-02",NA,NA,NA
"2023-07-26-03",NA,NA,NA
"2023-07-26-04",NA,NA,NA
"2023-07-26-05",NA,NA,NA
"2023-07-26-06",NA,NA,NA
"2023-07-26-07",NA,NA,NA
"2023-07-26-08",NA,NA,NA
"2023-07-26-09",NA,NA,NA
"2023-07-26-10",NA,NA,NA
"2023-07-26-11",NA,NA,NA
"2023-07-26-12",NA,NA,NA
"2023-07-26-13",NA,NA,NA
"2023-07-26-14",NA,NA,NA
"2023-07-26-15",NA,NA,NA
"2023-07-26-16",NA,NA,NA
"2023-07-26-17",NA,NA,NA
"2023-07-26-18",NA,NA,NA
"2023-07-26-19",NA,NA,NA
"2023-07-26-20",NA,NA,NA
"2023-07-26-21",NA,NA,NA
"2023-07-26-22",NA,NA,NA
"2023-07-26-23",NA,NA,NA
"2023-07-27-00",NA,NA,NA
"2023-07-27-01",NA,NA,NA
"2023-07-27-02",NA,NA,NA
"2023-07-27-03",NA,NA,NA
"2023-07-27-04",NA,NA,NA
"2023-07-27-05",NA,NA,NA
"2023-07-27-06",NA,NA,NA
"2023-07-27-07",NA,NA,NA
"2023-07-27-08",NA,NA,NA
"2023-07-27-09",NA,NA,NA
"2023-07-27-10",NA,NA,NA
"2023-07-27-11",NA,NA,NA
"2023-07-27-12",NA,NA,NA
"2023-07-27-13",NA,NA,NA
"2023-07-27-14",NA,NA,NA
"2023-07-27-15",NA,NA,NA
"2023-07-27-16",NA,NA,NA
"2023-07-27-17",NA,NA,NA
"2023-07-27-18",NA,NA,NA
"2023-07-27-19",NA,NA,NA
"2023-07-27-20",NA,NA,NA
"2023-07-27-21",NA,NA,NA
"2023-07-27-22",NA,NA,NA
"2023-07-27-23",NA,NA,NA
"2023-07-28-00",NA,NA,NA
"2023-07-28-01",NA,NA,NA
"2023-07-28-02",NA,NA,NA
"2023-07-28-03",NA,NA,NA
"2023-07-28-04",NA,NA,NA
"2023-07-28-05",NA,NA,NA
"2023-07-28-06",NA,NA,NA
"2023-07-28-07",NA,NA,NA
"2023-07-28-08",NA,NA,NA
"2023-07-28-09",NA,NA,NA
"2023-07-28-10",NA,NA,NA
"2023-07-28-11",NA,NA,NA
"2023-07-28-12",NA,NA,NA
"2023-07-28-13",NA,NA,NA
"2023-07-28-14",NA,NA,NA
"2023-07-28-15",NA,NA,NA
"2023-07-28-16",NA,NA,NA
"2023-07-28-17",NA,NA,NA
"2023-07-28-18",NA,NA,NA
"2023-07-28-19",NA,NA,NA
"2023-07-28-20",NA,NA,NA
"2023-07-28-21",NA,NA,NA
"2023-07-28-22",NA,NA,NA
"2023-07-28-23",NA,NA,NA
"2023-07-29-00",NA,NA,NA
"2023-07-29-01",NA,NA,NA
"2023-07-29-02",NA,NA,NA
"2023-07-29-03",NA,NA,NA
"2023-07-29-04",NA,NA,NA
"2023-07-29-05",NA,NA,NA
"2023-07-29-06",NA,NA,NA
"2023-07-29-07",NA,NA,NA
"2023-07-29-08",NA,NA,NA
"2023-07-29-09",NA,NA,NA
"2023-07-29-10",NA,NA,NA
"2023-07-29-11",NA,NA,NA
"2023-07-29-12",NA,NA,NA
"2023-07-29-13",NA,NA,NA
"2023-07-29-14",NA,NA,NA
"2023-07-29-15",NA,NA,NA
"2023-07-29-16",NA,NA,NA
"2023-07-29-17",NA,NA,NA
"2023-07-29-18",NA,NA,NA
"2023-07-29-19",NA,NA,NA
"2023-07-29-20",NA,NA,NA
"2023-07-29-21",NA,NA,NA
"2023-07-29-22",NA,NA,NA
"2023-07-29-23",NA,NA,NA
"2023-07-30-00",NA,NA,NA
"2023-07-30-01",NA,NA,NA
"2023-07-30-02",NA,NA,NA
"2023-07-30-03",NA,NA,NA
"2023-07-30-04",NA,NA,NA
"2023-07-30-05",NA,NA,NA
"2023-07-30-06",NA,NA,NA
"2023-07-30-07",NA,NA,NA
"2023-07-30-08",NA,NA,NA
"2023-07-30-09",NA,NA,NA
"2023-07-30-10",NA,NA,NA
"2023-07-30-11",NA,NA,NA
"2023-07-30-12",NA,NA,NA
"2023-07-30-13",NA,NA,NA
"2023-07-30-14",NA,NA,NA
"2023-07-30-15",NA,NA,NA
"2023-07-30-16",NA,NA,NA
"2023-07-30-17",NA,NA,NA
"2023-07-30-18",NA,NA,NA
"2023-07-30-19",NA,NA,NA
"2023-07-30-20",NA,NA,NA
"2023-07-30-21",NA,NA,NA
"2023-07-30-22",NA,NA,NA
"2023-07-30-23",NA,NA,NA
"2023-07-31-00",NA,NA,NA
"2023-07-31-01",NA,NA,NA
"2023-07-31-02",NA,NA,NA
"2023-07-31-03",NA,NA,NA
"2023-07-31-04",NA,NA,NA
"2023-07-31-05",NA,NA,NA
"2023-07-31-06",NA,NA,NA
"2023-07-31-07",NA,NA,NA
"2023-07-31-08",NA,NA,NA
"2023-07-31-09",NA,NA,NA
"2023-07-31-10",NA,NA,NA
"2023-07-31-11",NA,NA,NA
"2023-07-31-12",NA,NA,NA
"2023-07-31-13",NA,NA,NA
"2023-07-31-14",NA,NA,NA
"2023-07-31-15",NA,NA,NA
"2023-07-31-16",NA,NA,NA
"2023-07-31-17",NA,NA,NA
"2023-07-31-18",NA,NA,NA
"2023-07-31-19",NA,NA,NA
"2023-07-31-20",NA,NA,NA
"2023-07-31-21",NA,NA,NA
"2023-07-31-22",NA,NA,NA
"2023-07-31-23",NA,NA,NA
"2023-08-01-00",NA,NA,NA
"2023-08-01-01",NA,NA,NA
"2023-08-01-02",NA,NA,NA
"2023-08-01-03",NA,NA,NA
"2023-08-01-04",NA,NA,NA
"2023-08-01-05",NA,NA,NA
"2023-08-01-06",NA,NA,NA
"2023-08-01-07",NA,NA,NA
"2023-08-01-08",NA,NA,NA
"2023-08-01-09",NA,NA,NA
"2023-08-01-10",NA,NA,NA
"2023-08-01-11",NA,NA,NA
"2023-08-01-12",NA,NA,NA
"2023-08-01-13",NA,NA,NA
"2023-08-01-14",NA,NA,NA
"2023-08-01-15",NA,NA,NA
"2023-08-01-16",NA,NA,NA
"2023-08-01-17",NA,NA,NA
"2023-08-01-18",NA,NA,NA
"2023-08-01-19",NA,NA,NA
"2023-08-01-20",NA,NA,NA
"2023-08-01-21",NA,NA,NA
"2023-08-01-22",NA,NA,NA
"2023-08-01-23",NA,NA,NA
"2023-08-02-00",NA,NA,NA
"2023-08-02-01",NA,NA,NA
"2023-08-02-02",NA,NA,NA
"2023-08-02-03",NA,NA,NA
"2023-08-02-04",NA,NA,NA
"2023-08-02-05",NA,NA,NA
"2023-08-02-06",NA,NA,NA
"2023-08-02-07",NA,NA,NA
"2023-08-02-08",NA,NA,NA
"2023-08-02-09",NA,NA,NA
"2023-08-02-10",NA,NA,NA
"2023-08-02-11",NA,NA,NA
"2023-08-02-12",NA,NA,NA
"2023-08-02-13",NA,NA,NA
"2023-08-02-14",NA,NA,NA
"2023-08-02-15",NA,NA,NA
"2023-08-02-16",NA,NA,NA
"2023-08-02-17",NA,NA,NA
"2023-08-02-18",NA,NA,NA
"2023-08-02-19",NA,NA,NA
"2023-08-02-20",NA,NA,NA
"2023-08-02-21",NA,NA,NA
"2023-08-02-22",NA,NA,NA
"2023-08-02-23",NA,NA,NA
"2023-08-03-00",NA,NA,NA
"2023-08-03-01",NA,NA,NA
"2023-08-03-02",NA,NA,NA
"2023-08-03-03",NA,NA,NA
"2023-08-03-04",NA,NA,NA
"2023-08-03-05",NA,NA,NA
"2023-08-03-06",NA,NA,NA
"2023-08-03-07",NA,NA,NA
"2023-08-03-08",NA,NA,NA
"2023-08-03-09",NA,NA,NA
"2023-08-03-10",NA,NA,NA
"2023-08-03-11",NA,NA,NA
"2023-08-03-12",NA,NA,NA
"2023-08-03-13",NA,NA,NA
"2023-08-03-14",NA,NA,NA
"2023-08-03-15",NA,NA,NA
"2023-08-03-16",NA,NA,NA
"2023-08-03-17",NA,NA,NA
"2023-08-03-18",NA,NA,NA
"2023-08-03-19",NA,NA,NA
"2023-08-03-20",NA,NA,NA
"2023-08-03-21",NA,NA,NA
"2023-08-03-22",NA,NA,NA
"2023-08-03-23",NA,NA,NA
"2023-08-04-00",NA,NA,NA
"2023-08-04-01",NA,NA,NA
"2023-08-04-02",NA,NA,NA
"2023-08-04-03",NA,NA,NA
"2023-08-04-04",NA,NA,NA
"2023-08-04-05",NA,NA,NA
"2023-08-04-06",NA,NA,NA
"2023-08-04-07",NA,NA,NA
"2023-08-04-08",NA,NA,NA
"2023-08-04-09",NA,NA,NA
"2023-08-04-10",NA,NA,NA
"2023-08-04-11",NA,NA,NA
"2023-08-04-12",NA,NA,NA
"2023-08-04-13",NA,NA,NA
"2023-08-04-14",NA,NA,NA
"2023-08-04-15",NA,NA,NA
"2023-08-04-16",NA,NA,NA
"2023-08-04-17",NA,NA,NA
"2023-08-04-18",NA,NA,NA
"2023-08-04-19",NA,NA,NA
"2023-08-04-20",NA,NA,NA
"2023-08-04-21",NA,NA,NA
"2023-08-04-22",NA,NA,NA
"2023-08-04-23",NA,NA,NA
"2023-08-05-00",NA,NA,NA
"2023-08-05-01",NA,NA,NA
"2023-08-05-02",NA,NA,NA
"2023-08-05-03",NA,NA,NA
"2023-08-05-04",NA,NA,NA
"2023-08-05-05",NA,NA,NA
"2023-08-05-06",NA,NA,NA
"2023-08-05-07",NA,NA,NA
"2023-08-05-08",NA,NA,NA
"2023-08-05-09",NA,NA,NA
"2023-08-05-10",NA,NA,NA
"2023-08-05-11",NA,NA,NA
"2023-08-05-12",NA,NA,NA
"2023-08-05-13",NA,NA,NA
"2023-08-05-14",NA,NA,NA
"2023-08-05-15",NA,NA,NA
"2023-08-05-16",NA,NA,NA
"2023-08-05-17",NA,NA,NA
"2023-08-05-18",NA,NA,NA
"2023-08-05-19",NA,NA,NA
"2023-08-05-20",NA,NA,NA
"2023-08-05-21",NA,NA,NA
"2023-08-05-22",NA,NA,NA
"2023-08-05-23",NA,NA,NA
"2023-08-06-00",NA,NA,NA
"2023-08-06-01",NA,NA,NA
"2023-08-06-02",NA,NA,NA
"2023-08-06-03",NA,NA,NA
"2023-08-06-04",NA,NA,NA
"2023-08-06-05",NA,NA,NA
"2023-08-06-06",NA,NA,NA
"2023-08-06-07",NA,NA,NA
"2023-08-06-08",NA,NA,NA
"2023-08-06-09",NA,NA,NA
"2023-08-06-10",NA,NA,NA
"2023-08-06-11",NA,NA,NA
"2023-08-06-12",NA,NA,NA
"2023-08-06-13",NA,NA,NA
"2023-08-06-14",NA,NA,NA
"2023-08-06-15",NA,NA,NA
"2023-08-06-16",NA,NA,NA
"2023-08-06-17",NA,NA,NA
"2023-08-06-18",NA,NA,NA
"2023-08-06-19",NA,NA,NA
"2023-08-06-20",NA,NA,NA
"2023-08-06-21",NA,NA,NA
"2023-08-06-22",NA,NA,NA
"2023-08-06-23",NA,NA,NA
"2023-08-07-00",NA,NA,NA
"2023-08-07-01",NA,NA,NA
"2023-08-07-02",NA,NA,NA
"2023-08-07-03",NA,NA,NA
"2023-08-07-04",NA,NA,NA
"2023-08-07-05",NA,NA,NA
"2023-08-07-06",NA,NA,NA
"2023-08-07-07",NA,NA,NA
"2023-08-07-08",NA,NA,NA
"2023-08-07-09",NA,NA,NA
"2023-08-07-10",NA,NA,NA
"2023-08-07-11",NA,NA,NA
"2023-08-07-12",NA,NA,NA
"2023-08-07-13",NA,NA,NA
"2023-08-07-14",NA,NA,NA
"2023-08-07-15",NA,NA,NA
"2023-08-07-16",NA,NA,NA
"2023-08-07-17",NA,NA,NA
"2023-08-07-18",NA,NA,NA
"2023-08-07-19",NA,NA,NA
"2023-08-07-20",NA,NA,NA
"2023-08-07-21",NA,NA,NA
"2023-08-07-22",NA,NA,NA
"2023-08-07-23",NA,NA,NA
"2023-08-08-00",NA,NA,NA
"2023-08-08-01",NA,NA,NA
"2023-08-08-02",NA,NA,NA
"2023-08-08-03",NA,NA,NA
"2023-08-08-04",NA,NA,NA
"2023-08-08-05",NA,NA,NA
"2023-08-08-06",NA,NA,NA
"2023-08-08-07",NA,NA,NA
"2023-08-08-08",NA,NA,NA
"2023-08-08-09",NA,NA,NA
"2023-08-08-10",NA,NA,NA
"2023-08-08-11",NA,NA,NA
"2023-08-08-12",NA,NA,NA
"2023-08-08-13",NA,NA,NA
"2023-08-08-14",NA,NA,NA
"2023-08-08-15",NA,NA,NA
"2023-08-08-16",NA,NA,NA
"2023-08-08-17",NA,NA,NA
"2023-08-08-18",NA,NA,NA
"2023-08-08-19",NA,NA,NA
"2023-08-08-20",NA,NA,NA
"2023-08-08-21",NA,NA,NA
"2023-08-08-22",NA,NA,NA
"2023-08-08-23",NA,NA,NA
"2023-08-09-00",NA,NA,NA
"2023-08-09-01",NA,NA,NA
"2023-08-09-02",NA,NA,NA
"2023-08-09-03",NA,NA,NA
"2023-08-09-04",NA,NA,NA
"2023-08-09-05",NA,NA,NA
"2023-08-09-06",NA,NA,NA
"2023-08-09-07",NA,NA,NA
"2023-08-09-08",NA,NA,NA
"2023-08-09-09",NA,NA,NA
"2023-08-09-10",NA,NA,NA
"2023-08-09-11",NA,NA,NA
"2023-08-09-12",NA,NA,NA
"2023-08-09-13",NA,NA,NA
"2023-08-09-14",NA,NA,NA
"2023-08-09-15",NA,NA,NA
"2023-08-09-16",NA,NA,NA
"2023-08-09-17",NA,NA,NA
"2023-08-09-18",NA,NA,NA
"2023-08-09-19",NA,NA,NA
"2023-08-09-20",NA,NA,NA
"2023-08-09-21",NA,NA,NA
"2023-08-09-22",NA,NA,NA
"2023-08-09-23",NA,NA,NA
"2023-08-10-00",NA,NA,NA
"2023-08-10-01",NA,NA,NA
"2023-08-10-02",NA,NA,NA
"2023-08-10-03",NA,NA,NA
"2023-08-10-04",NA,NA,NA
"2023-08-10-05",NA,NA,NA
"2023-08-10-06",NA,NA,NA
"2023-08-10-07",NA,NA,NA
"2023-08-10-08",NA,NA,NA
"2023-08-10-09",NA,NA,NA
"2023-08-10-10",NA,NA,NA
"2023-08-10-11",NA,NA,NA
"2023-08-10-12",NA,NA,NA
"2023-08-10-13",NA,NA,NA
"2023-08-10-14",NA,NA,NA
"2023-08-10-15",NA,NA,NA
"2023-08-10-16",NA,NA,NA
"2023-08-10-17",NA,NA,NA
"2023-08-10-18",NA,NA,NA
"2023-08-10-19",NA,NA,NA
"2023-08-10-20",NA,NA,NA
"2023-08-10-21",NA,NA,NA
"2023-08-10-22",NA,NA,NA
"2023-08-10-23",NA,NA,NA
"2023-08-11-00",NA,NA,NA
"2023-08-11-01",NA,NA,NA
"2023-08-11-02",NA,NA,NA
"2023-08-11-03",NA,NA,NA
"2023-08-11-04",NA,NA,NA
"2023-08-11-05",NA,NA,NA
"2023-08-11-06",NA,NA,NA
"2023-08-11-07",NA,NA,NA
"2023-08-11-08",NA,NA,NA
"2023-08-11-09",NA,NA,NA
"2023-08-11-10",NA,NA,NA
"2023-08-11-11",NA,NA,NA
"2023-08-11-12",NA,NA,NA
"2023-08-11-13",NA,NA,NA
"2023-08-11-14",NA,NA,NA
"2023-08-11-15",NA,NA,NA
"2023-08-11-16",NA,NA,NA
"2023-08-11-17",NA,NA,NA
"2023-08-11-18",NA,NA,NA
"2023-08-11-19",NA,NA,NA
"2023-08-11-20",NA,NA,NA
"2023-08-11-21",NA,NA,NA
"2023-08-11-22",NA,NA,NA
"2023-08-11-23",NA,NA,NA
"2023-08-12-00",NA,NA,NA
"2023-08-12-01",NA,NA,NA
"2023-08-12-02",NA,NA,NA
"2023-08-12-03",NA,NA,NA
"2023-08-12-04",NA,NA,NA
"2023-08-12-05",NA,NA,NA
"2023-08-12-06",NA,NA,NA
"2023-08-12-07",NA,NA,NA
"2023-08-12-08",NA,NA,NA
"2023-08-12-09",NA,NA,NA
"2023-08-12-10",NA,NA,NA
"2023-08-12-11",NA,NA,NA
"2023-08-12-12",NA,NA,NA
"2023-08-12-13",NA,NA,NA
"2023-08-12-14",NA,NA,NA
"2023-08-12-15",NA,NA,NA
"2023-08-12-16",NA,NA,NA
"2023-08-12-17",NA,NA,NA
"2023-08-12-18",NA,NA,NA
"2023-08-12-19",NA,NA,NA
"2023-08-12-20",NA,NA,NA
"2023-08-12-21",NA,NA,NA
"2023-08-12-22",NA,NA,NA
"2023-08-12-23",NA,NA,NA
"2023-08-13-00",NA,NA,NA
"2023-08-13-01",NA,NA,NA
"2023-08-13-02",NA,NA,NA
"2023-08-13-03",NA,NA,NA
"2023-08-13-04",NA,NA,NA
"2023-08-13-05",NA,NA,NA
"2023-08-13-06",NA,NA,NA
"2023-08-13-07",NA,NA,NA
"2023-08-13-08",NA,NA,NA
"2023-08-13-09",NA,NA,NA
"2023-08-13-10",NA,NA,NA
"2023-08-13-11",NA,NA,NA
"2023-08-13-12",NA,NA,NA
"2023-08-13-13",NA,NA,NA
"2023-08-13-14",NA,NA,NA
"2023-08-13-15",NA,NA,NA
"2023-08-13-16",NA,NA,NA
"2023-08-13-17",NA,NA,NA
"2023-08-13-18",NA,NA,NA
"2023-08-13-19",NA,NA,NA
"2023-08-13-20",NA,NA,NA
"2023-08-13-21",NA,NA,NA
"2023-08-13-22",NA,NA,NA
"2023-08-13-23",NA,NA,NA
"2023-08-14-00",NA,NA,NA
"2023-08-14-01",NA,NA,NA
"2023-08-14-02",NA,NA,NA
"2023-08-14-03",NA,NA,NA
"2023-08-14-04",NA,NA,NA
